"shapeid","x","y"
"0","-122.014072","37.780227"
"0","-122.017772","37.781227"
"0","-122.021972","37.784227"
"0","-122.029645","37.787386"
"0","-122.030472","37.787727"
"0","-122.036072","37.791627"
"0","-122.037972","37.793027"
"0","-122.040148","37.794506"
"0","-122.045473","37.798126"
"0","-122.053992","37.798694"
"0","-122.056029","37.79883"
"0","-122.058973","37.799027"
"0","-122.059514","37.799065"
"0","-122.061139","37.799181"
"0","-122.061681","37.79922"
"0","-122.061773","37.799227"
"0","-122.062205","37.799255"
"0","-122.063777","37.79936"
"0","-122.064302","37.799396"
"0","-122.064215","37.802034"
"0","-122.064177","37.803159"
"0","-122.064104","37.805268"
"0","-122.063772","37.81497"
"0","-122.063718","37.816571"
"0","-122.06372","37.817225"
"0","-122.063717","37.817274"
"0","-122.063662","37.818204"
"0","-122.063659","37.818302"
"0","-122.063651","37.818596"
"0","-122.063649","37.818695"
"0","-122.065074","37.820709"
"0","-122.065314","37.821049"
"0","-122.06935","37.826751"
"0","-122.070545","37.82844"
"0","-122.070776","37.828766"
"0","-122.070075","37.829524"
"0","-122.069231","37.830439"
"0","-122.065014","37.835009"
"0","-122.064599","37.83546"
"0","-122.063929","37.836187"
"0","-122.063055","37.837134"
"0","-122.061545","37.838218"
"0","-122.061491","37.838677"
"0","-122.061632","37.840312"
"0","-122.061579","37.842558"
"0","-122.061569","37.842983"
"0","-122.05273","37.842508"
"0","-122.052357","37.842497"
"0","-122.052542","37.847242"
"0","-122.052648","37.849946"
"0","-122.052549","37.849948"
"0","-122.052699","37.852955"
"0","-122.053009","37.859145"
"0","-122.052853","37.859287"
"0","-122.052509","37.859511"
"0","-122.052366","37.859598"
"0","-122.052128","37.859706"
"0","-122.052008","37.859737"
"0","-122.051935","37.859724"
"0","-122.051948","37.859356"
"0","-122.049756","37.859346"
"0","-122.04926","37.859343"
"0","-122.044876","37.859323"
"0","-122.046203","37.862751"
"0","-122.047174","37.865257"
"0","-122.047344","37.865563"
"0","-122.047334","37.865566"
"0","-122.046305","37.865893"
"0","-122.045962","37.866003"
"0","-122.045709","37.866092"
"0","-122.044952","37.866361"
"0","-122.0447","37.866452"
"0","-122.044352","37.866527"
"0","-122.043309","37.866751"
"0","-122.042962","37.866827"
"0","-122.04249","37.867027"
"0","-122.041077","37.867629"
"0","-122.040861","37.867721"
"0","-122.040613","37.867845"
"0","-122.040475","37.867908"
"0","-122.040061","37.868098"
"0","-122.039924","37.868162"
"0","-122.039802","37.868214"
"0","-122.039439","37.868369"
"0","-122.039318","37.868422"
"0","-122.038752","37.86867"
"0","-122.037822","37.869079"
"0","-122.036879","37.869495"
"0","-122.035606","37.87315"
"0","-122.035069","37.874693"
"0","-122.035007","37.87487"
"0","-122.034821","37.875402"
"0","-122.03476","37.87558"
"0","-122.034647","37.875903"
"0","-122.034572","37.876121"
"0","-122.033803","37.875913"
"0","-122.033473","37.875824"
"0","-122.033155","37.875737"
"0","-122.032202","37.875478"
"0","-122.031885","37.875392"
"0","-122.031671","37.875338"
"0","-122.031029","37.875176"
"0","-122.030816","37.875122"
"0","-122.030465","37.875032"
"0","-122.029412","37.874765"
"0","-122.029062","37.874676"
"0","-122.028955","37.874661"
"0","-122.028833","37.874635"
"0","-122.028152","37.874494"
"0","-122.027925","37.874447"
"0","-122.027628","37.874397"
"0","-122.026737","37.874247"
"0","-122.026441","37.874197"
"0","-122.026372","37.874177"
"0","-122.026166","37.874117"
"0","-122.026098","37.874098"
